 Mh1       Mh2        Mhc       MR        ld345          ld        a        Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)     Br(H->h-h+)    Br(H->AA)       Width_H   
1428.82   1431.20   1429.24   3677.91   -8.301E-01   4.311E+00   3.34     1.181E-01      1.856E-09     0.000E+00      0.000E+00       0.000E+00      2.213E-03      4.392E-03  
1627.96   1631.09   1629.75   4155.37   -1.028E+00   7.636E-01   4.93     1.193E-01      2.192E-09     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
738.38   738.66   743.90   4215.30   1.646E-02   1.548E+00   4.43     1.179E-01      2.731E-12     0.000E+00      0.000E+00       0.000E+00      2.207E-03      4.392E-03  
1360.83   1366.12   1369.67   4206.58   -9.242E-01   3.572E+00   4.95     1.190E-01      2.537E-09     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
1212.03   1215.55   1217.46   3728.86   2.301E-01   1.063E+00   3.35     1.183E-01      1.983E-10     0.000E+00      0.000E+00       0.000E+00      2.207E-03      4.392E-03  
1548.38   1553.20   1549.04   3533.43   3.752E-01   1.462E+00   4.20     1.189E-01      3.231E-10     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
718.80   721.19   721.46   3527.20   -3.210E-01   1.551E+00   3.87     1.173E-01      1.096E-09     0.000E+00      0.000E+00       0.000E+00      2.213E-03      4.392E-03  
926.94   934.14   928.42   2404.84   -3.771E-01   9.844E-01   3.16     1.179E-01      9.098E-10     0.000E+00      0.000E+00       0.000E+00      2.213E-03      4.392E-03  
1335.09   1343.55   1336.85   3719.96   -7.517E-01   2.639E+00   3.45     1.188E-01      1.744E-09     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
1598.54   1601.99   1608.17   3716.90   -4.655E-01   3.436E+00   3.82     1.174E-01      4.664E-10     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
1224.25   1225.57   1233.66   4114.93   -6.046E-01   5.862E-01   3.09     1.175E-01      1.341E-09     0.000E+00      0.000E+00       0.000E+00      2.210E-03      4.392E-03  
1010.05   1018.09   1014.70   3325.41   2.166E-02   4.105E-01   4.46     1.180E-01      2.529E-12     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1409.44   1418.16   1418.07   3994.08   -1.004E+00   3.316E+00   3.99     1.173E-01      2.789E-09     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
1143.36   1152.99   1150.89   4199.42   -1.967E-01   1.466E+00   3.56     1.185E-01      1.627E-10     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1396.52   1403.44   1399.00   3306.05   2.306E-01   1.242E-01   4.08     1.175E-01      1.500E-10     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
1415.75   1418.76   1419.56   4378.04   4.491E-01   1.952E+00   5.00     1.192E-01      5.534E-10     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1610.88   1614.43   1615.90   3689.42   -9.399E-01   9.544E-01   4.25     1.190E-01      1.873E-09     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
1410.15   1413.68   1410.45   3670.20   6.142E-01   2.555E-01   4.96     1.180E-01      1.044E-09     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
830.32   837.27   831.60   3279.78   1.023E-01   3.759E-01   3.93     1.172E-01      8.337E-11     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
879.40   884.18   880.28   3701.78   2.445E-01   1.269E+00   4.36     1.191E-01      4.247E-10     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1124.04   1132.25   1127.90   3148.01   -6.679E-01   1.953E+00   4.35     1.184E-01      1.941E-09     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
1074.22   1081.53   1075.77   4122.99   -5.873E-01   1.674E+00   3.86     1.188E-01      1.643E-09     0.000E+00      0.000E+00       0.000E+00      2.213E-03      4.392E-03  
1346.27   1350.01   1347.15   3338.16   -7.700E-01   4.182E+00   3.29     1.180E-01      1.799E-09     0.000E+00      0.000E+00       0.000E+00      2.213E-03      4.392E-03  
1478.52   1481.22   1486.85   3905.24   -1.498E-02   4.106E+00   4.50     1.191E-01      5.644E-13     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1327.19   1329.08   1337.09   3721.27   -4.401E-01   3.169E+00   4.88     1.195E-01      6.047E-10     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
1719.50   1724.21   1726.32   4105.74   -1.219E+00   3.663E+00   4.04     1.181E-01      2.766E-09     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
1728.79   1730.78   1734.54   4467.59   -1.192E+00   9.856E-01   4.53     1.178E-01      2.616E-09     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
940.17   947.55   948.50   2952.56   -4.641E-01   3.451E+00   4.87     1.175E-01      1.339E-09     0.000E+00      0.000E+00       0.000E+00      2.210E-03      4.392E-03  
1801.55   1803.89   1801.97   4437.49   -1.090E+00   2.345E+00   3.73     1.179E-01      2.013E-09     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
646.72   648.54   648.80   3498.80   -2.179E-01   3.990E+00   4.85     1.191E-01      6.233E-10     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
1031.43   1040.87   1039.28   3437.50   -6.031E-01   2.037E+00   3.05     1.176E-01      1.880E-09     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
1613.73   1614.24   1623.53   4299.78   -7.004E-01   2.410E-01   4.58     1.178E-01      1.036E-09     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
1277.20   1286.90   1280.79   3075.77   -6.159E-01   3.486E+00   4.44     1.179E-01      1.279E-09     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
1066.54   1068.84   1076.09   4172.39   -4.833E-01   3.256E+00   3.92     1.175E-01      1.129E-09     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
1351.25   1360.55   1359.84   4186.11   -9.478E-01   1.002E+00   3.77     1.175E-01      2.706E-09     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
718.01   718.24   723.87   3871.35   -3.947E-02   3.973E-01   4.91     1.174E-01      1.660E-11     0.000E+00      0.000E+00       0.000E+00      2.207E-03      4.392E-03  
1202.50   1208.98   1210.44   2927.92   -6.819E-01   2.247E+00   4.62     1.173E-01      1.768E-09     0.000E+00      0.000E+00       0.000E+00      2.210E-03      4.392E-03  
1615.69   1623.80   1624.77   3692.05   -6.233E-01   2.725E+00   3.04     1.185E-01      8.187E-10     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
1573.12   1580.43   1577.64   3600.88   -1.278E-02   7.857E-01   4.74     1.175E-01      3.631E-13     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
1447.99   1452.29   1457.79   3421.72   -5.526E-01   1.730E+00   3.57     1.192E-01      8.012E-10     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
1104.19   1113.11   1112.04   2961.43   -2.740E-01   3.330E+00   4.41     1.190E-01      3.386E-10     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
1051.14   1058.28   1061.05   3919.67   -4.719E-01   1.288E+00   4.35     1.194E-01      1.108E-09     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
1027.45   1029.46   1035.12   4189.70   -1.615E-02   4.088E+00   4.50     1.193E-01      1.358E-12     0.000E+00      0.000E+00       0.000E+00      2.207E-03      4.392E-03  
681.67   683.71   685.73   3543.05   -2.647E-01   2.424E+00   3.84     1.183E-01      8.282E-10     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
1235.21   1238.60   1240.20   4398.08   -8.381E-01   1.287E+00   3.83     1.174E-01      2.532E-09     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
1894.74   1902.37   1903.88   4271.58   -8.316E-01   4.204E+00   4.11     1.191E-01      1.060E-09     0.000E+00      0.000E+00       0.000E+00      2.210E-03      4.392E-03  
1052.34   1059.87   1061.55   3144.35   -5.681E-01   3.384E+00   3.44     1.192E-01      1.602E-09     0.000E+00      0.000E+00       0.000E+00      2.210E-03      4.392E-03  
1858.41   1861.24   1864.59   4127.99   -8.583E-01   2.720E+00   3.49     1.188E-01      1.174E-09     0.000E+00      0.000E+00       0.000E+00      2.210E-03      4.392E-03  
1144.11   1145.32   1146.13   4059.07   -6.731E-01   1.728E+00   3.64     1.196E-01      1.903E-09     0.000E+00      0.000E+00       0.000E+00      2.213E-03      4.392E-03  
1714.44   1722.50   1723.59   4151.44   -2.827E-01   4.275E+00   3.66     1.176E-01      1.496E-10     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
1227.23   1234.77   1235.19   3756.00   -1.271E-01   2.182E+00   4.86     1.191E-01      5.903E-11     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1229.49   1231.45   1233.03   2973.23   3.213E-01   2.999E+00   4.17     1.178E-01      3.756E-10     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1501.08   1502.41   1501.88   4211.50   -8.963E-01   3.632E+00   4.37     1.186E-01      1.961E-09     0.000E+00      0.000E+00       0.000E+00      2.213E-03      4.392E-03  
1206.86   1209.57   1208.09   3657.19   -7.181E-01   2.277E+00   3.14     1.175E-01      1.947E-09     0.000E+00      0.000E+00       0.000E+00      2.213E-03      4.392E-03  
1696.61   1698.33   1699.23   3840.56   -8.640E-01   4.051E-01   4.21     1.195E-01      1.427E-09     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
1298.57   1307.17   1303.22   3736.40   -8.671E-01   3.617E+00   3.28     1.176E-01      2.452E-09     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
1103.55   1109.35   1113.37   2966.48   -4.364E-01   3.378E+00   3.76     1.173E-01      8.597E-10     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
1731.06   1735.53   1740.17   4064.60   -1.086E+00   2.314E+00   4.28     1.194E-01      2.167E-09     0.000E+00      0.000E+00       0.000E+00      2.210E-03      4.392E-03  
969.37   969.44   977.84   4138.32   -2.232E-01   3.954E+00   4.90     1.196E-01      2.914E-10     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1087.02   1093.30   1095.43   3091.82   -6.649E-01   3.085E+00   3.88     1.175E-01      2.057E-09     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
1598.53   1607.31   1600.42   3656.75   -4.693E-02   3.060E+00   4.57     1.175E-01      4.743E-12     0.000E+00      0.000E+00       0.000E+00      2.210E-03      4.392E-03  
1059.06   1065.07   1065.43   2751.20   -2.066E-02   3.811E+00   3.11     1.182E-01      2.092E-12     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1773.00   1782.08   1780.97   4157.43   -1.211E+00   3.094E+00   4.92     1.184E-01      2.568E-09     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
1453.55   1457.66   1459.37   3615.28   2.345E-01   3.231E-01   3.56     1.175E-01      1.432E-10     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1856.50   1858.91   1857.37   4425.84   8.747E-01   2.616E+00   4.06     1.180E-01      1.222E-09     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1339.24   1343.14   1341.07   4034.67   -8.468E-01   2.155E+00   3.97     1.178E-01      2.199E-09     0.000E+00      0.000E+00       0.000E+00      2.213E-03      4.392E-03  
1013.75   1016.08   1022.32   2736.82   -4.437E-01   4.106E+00   3.27     1.178E-01      1.053E-09     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
1259.05   1267.48   1260.98   3513.96   -6.990E-01   1.024E+00   4.34     1.179E-01      1.695E-09     0.000E+00      0.000E+00       0.000E+00      2.213E-03      4.392E-03  
948.95   952.87   957.72   2754.26   -3.463E-01   1.793E+00   4.81     1.172E-01      7.319E-10     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
943.60   945.64   951.91   3913.50   -1.234E-01   3.519E+00   3.25     1.181E-01      9.395E-11     0.000E+00      0.000E+00       0.000E+00      2.207E-03      4.392E-03  
1578.43   1588.33   1579.59   3705.85   -5.712E-01   3.851E+00   4.99     1.178E-01      7.203E-10     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
1055.82   1064.21   1062.29   3893.13   -6.661E-01   2.212E+00   4.70     1.193E-01      2.188E-09     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
1392.23   1397.74   1397.73   4390.82   2.327E-01   2.386E+00   3.34     1.184E-01      1.537E-10     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1233.86   1240.15   1243.01   4263.92   -1.801E-01   3.638E+00   4.08     1.174E-01      1.171E-10     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
769.38   777.35   770.08   2883.30   -9.453E-02   9.820E-01   4.09     1.194E-01      8.295E-11     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
1240.89   1250.45   1250.49   4073.86   -4.197E-01   1.354E+00   4.06     1.192E-01      6.292E-10     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
1233.04   1239.09   1235.05   2915.79   -6.258E-01   2.242E+00   3.12     1.181E-01      1.416E-09     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
825.23   828.41   826.48   4488.09   -4.136E-01   2.107E-01   4.99     1.175E-01      1.380E-09     0.000E+00      0.000E+00       0.000E+00      2.214E-03      4.392E-03  
1177.50   1182.58   1186.63   2876.96   -5.754E-01   4.291E+00   3.06     1.178E-01      1.313E-09     0.000E+00      0.000E+00       0.000E+00      2.210E-03      4.392E-03  
1655.31   1663.48   1664.01   3881.36   -3.033E-01   1.675E+00   3.22     1.185E-01      1.847E-10     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
1098.85   1102.07   1107.21   3719.78   -6.459E-01   4.053E+00   4.18     1.189E-01      1.900E-09     0.000E+00      0.000E+00       0.000E+00      2.210E-03      4.392E-03  
1799.02   1808.54   1801.41   4444.45   -1.070E+00   3.808E+00   3.88     1.189E-01      1.946E-09     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
1800.37   1802.55   1807.79   4296.93   1.577E-01   1.624E+00   3.69     1.189E-01      4.220E-11     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
746.06   753.73   749.06   2543.70   -1.759E-01   1.285E+00   4.85     1.189E-01      3.053E-10     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
1296.38   1302.47   1302.72   3564.01   -9.059E-01   3.843E+00   3.13     1.184E-01      2.686E-09     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
